Date,Sales
01/01/2016,293
06/29/2017,953
07/31/2011,1253
02/11/2011,1519
03/29/2014,231
03/21/2016,1269
01/19/2014,630
03/29/2013,1012
06/18/2013,942
12/17/2019,2092
03/24/2017,2346
01/21/2015,1990
07/26/2016,2463
04/06/2014,1509
09/04/2011,2103
10/21/2013,1793
10/23/2019,750
10/11/2015,649
08/25/2014,1345
08/01/2017,307
01/04/2012,1624
05/09/2016,1280
06/01/2016,388
04/14/2015,268
07/12/2012,1613
02/04/2011,2482
05/01/2014,288
05/01/2015,167
11/21/2013,861
01/06/2015,2118
07/30/2017,1773
02/19/2012,1762
01/01/2020,1028
01/28/2011,369
06/03/2014,686
05/26/2018,144
04/21/2011,1415
03/07/2013,2123
11/04/2014,1391
12/22/2018,133
01/07/2020,1575
05/17/2013,1459
07/30/2016,2453
12/09/2015,902
09/28/2018,853
09/12/2010,727
08/18/2012,867
05/12/2013,1732
10/09/2012,1631
08/06/2015,425
01/16/2019,1320
08/06/2019,436
03/14/2017,1766
09/25/2013,1653
08/08/2019,507
04/30/2015,500
11/18/2011,2169
03/10/2011,1975
02/20/2018,174
05/08/2011,991
12/07/2018,1241
11/17/2016,1950
12/14/2015,1249
09/07/2018,2352
12/28/2014,1614
10/30/2016,2422
01/30/2015,468
06/08/2012,775
08/23/2018,1983
03/22/2018,2398
02/05/2013,526
04/04/2012,105
11/07/2010,2399
11/11/2012,1895
07/29/2011,653
11/21/2016,666
05/28/2010,1278
03/09/2016,1016
12/19/2011,2339
09/10/2011,2038
05/15/2018,1047
07/23/2013,1655
12/21/2010,2184
05/21/2014,79
01/18/2016,2302
02/17/2018,2162
12/03/2016,474
06/21/2012,540
10/23/2019,2366
10/13/2016,130
06/10/2014,2163
06/16/2013,1100
03/21/2011,1482
11/03/2011,235
05/20/2012,1367
10/03/2017,789
10/21/2017,229
02/19/2015,2449
04/13/2017,1787
12/27/2019,1140
02/04/2016,892
01/17/2012,906
11/29/2015,247
02/08/2014,1188
01/29/2015,1845
01/17/2020,385
03/28/2014,1931
10/13/2012,2496
11/27/2015,361
03/09/2016,695
05/07/2013,951
12/10/2010,231
09/27/2016,2382
03/18/2014,957
04/15/2010,979
05/09/2013,855
09/19/2016,1621
03/12/2012,2446
04/22/2012,77
07/08/2015,424
01/21/2012,1057
08/01/2018,1322
01/06/2018,1072
10/03/2016,523
08/20/2012,339
07/27/2016,1524
04/27/2015,888
10/18/2017,556
06/01/2019,1749
03/06/2014,1783
03/06/2017,902
05/23/2015,1233
09/07/2019,665
03/09/2011,1233
01/01/2015,1158
03/29/2014,335
12/30/2015,1649
11/12/2011,1178
08/24/2015,2336
02/11/2016,1825
12/07/2016,1550
03/22/2013,58
06/17/2018,228
12/05/2019,1639
10/10/2010,1713
04/29/2018,2105
10/06/2019,502
08/15/2014,1470
06/29/2012,1612
01/14/2019,408
10/12/2012,482
08/27/2017,1238
08/21/2019,2223
03/05/2019,1164
11/08/2011,829
01/13/2012,1293
05/26/2015,1947
01/10/2016,163
06/23/2012,2042
09/01/2015,1782
09/26/2015,1669
09/19/2015,2146
05/12/2016,761
07/19/2010,1806
04/09/2019,1820
02/20/2017,2124
02/19/2014,1283
05/24/2015,492
08/03/2015,344
07/26/2019,1524
08/28/2011,1472
06/18/2011,1879
12/02/2017,2453
12/08/2018,557
07/11/2011,2300
07/16/2016,1808
01/07/2017,534
05/03/2013,1233
02/20/2020,936
04/20/2015,355
06/07/2018,1067
07/12/2019,2363
04/01/2012,1260
03/27/2016,2438
10/24/2012,2418
03/04/2020,1970
12/21/2012,1606
09/30/2014,250
09/26/2015,822
02/16/2019,805
07/16/2010,996
09/18/2015,1006
12/07/2013,2051
06/12/2018,243
12/28/2012,1640
05/26/2013,601
08/01/2019,1515
09/10/2015,1355
02/07/2013,2133
09/24/2012,474
12/06/2014,1840
07/18/2014,2241
10/28/2019,605
08/19/2013,1222
04/15/2018,1665
10/05/2011,2319
05/07/2013,2048
10/05/2010,1603
09/28/2011,109
05/14/2012,2198
09/30/2012,1061
11/18/2017,2404
03/26/2012,1573
06/04/2018,707
12/19/2014,722
07/11/2012,2448
09/09/2017,1805
02/07/2016,1698
10/29/2012,1396
08/23/2016,1921
03/27/2011,656
02/05/2018,1641
01/21/2012,2304
05/27/2014,1154
05/23/2015,1067
08/08/2017,133
02/02/2020,2054
06/19/2015,936
11/06/2012,1066
07/01/2012,1934
10/09/2017,2338
01/31/2016,425
04/12/2018,421
06/05/2013,611
02/28/2012,2207
02/24/2015,1126
12/20/2018,228
08/01/2010,745
12/08/2019,370
03/03/2014,598
09/26/2014,1447
11/20/2016,1009
08/05/2015,1875
06/10/2018,229
08/26/2013,825
03/03/2020,2154
10/04/2019,2372
05/10/2017,1144
10/05/2011,1786
01/26/2013,148
01/09/2011,1417
07/07/2016,916
07/23/2015,1440
10/02/2015,2183
04/12/2010,2212
03/01/2018,1222
10/15/2017,1607
11/16/2015,1183
05/17/2017,2212
07/15/2015,1319
05/05/2016,1816
12/26/2019,1172
12/25/2012,59
01/27/2013,1992
07/31/2019,1819
01/20/2012,1634
08/10/2012,1939
02/19/2011,2136
10/21/2019,1374
07/09/2018,681
09/01/2018,918
11/14/2011,1775
01/19/2015,750
02/08/2018,1352
04/25/2011,2405
10/12/2013,174
09/02/2012,1986
11/15/2010,1009
01/16/2015,2292
12/27/2018,1489
12/23/2011,168
02/08/2015,372
05/01/2018,366
11/11/2014,1895
07/08/2010,1798
12/07/2012,577
03/11/2010,1786
09/17/2010,1869
12/11/2014,1144
06/27/2019,1881
02/23/2015,1328
11/05/2019,546
01/21/2012,195
01/29/2020,303
06/20/2011,81
03/08/2012,1279
04/16/2018,855
11/10/2015,1295
07/18/2015,305
10/28/2017,558
11/05/2011,477
07/11/2011,1037
06/03/2014,870
07/23/2013,789
05/16/2019,1978
02/04/2018,1500
05/29/2012,154
05/31/2011,1798
06/27/2010,1142
11/11/2014,1089
05/29/2019,266
10/22/2014,998
04/13/2013,545
08/08/2019,1791
03/18/2013,1872
03/27/2015,1770
10/21/2016,2201
08/23/2011,2120
03/29/2017,634
12/27/2011,198
05/26/2011,1564
03/02/2013,1837
11/21/2014,1930
01/20/2013,1501
11/11/2013,1966
11/12/2013,1486
08/16/2011,444
04/30/2016,1241
09/13/2010,1286
08/05/2019,697
04/22/2017,416
10/16/2019,2175
01/09/2017,2180
04/07/2018,171
01/08/2015,152
12/13/2016,230
11/08/2015,186
02/27/2017,1621
01/21/2017,1046
09/23/2014,2284
01/29/2011,710
09/11/2015,685
05/07/2011,1637
11/05/2016,345
12/04/2010,368
03/29/2016,2253
02/23/2016,1323
06/13/2013,74
11/11/2014,70
04/22/2017,2145
05/26/2016,50
05/19/2018,1662
10/06/2013,1382
10/03/2018,1013
02/02/2011,640
01/30/2015,1139
07/18/2012,1160
07/21/2019,339
01/02/2015,1235
01/06/2020,1992
11/09/2010,551
12/23/2012,794
07/30/2016,1422
03/25/2019,263
06/25/2012,594
11/30/2014,1449
05/17/2018,586
05/17/2012,1090
12/29/2019,2271
12/26/2018,1188
02/17/2014,2024
03/19/2017,880
09/05/2015,666
12/25/2012,1179
07/25/2015,719
01/07/2012,2313
09/23/2011,89
07/08/2011,1494
08/21/2017,2308
01/19/2017,1485
01/26/2011,538
08/23/2017,1438
09/20/2010,534
07/15/2018,127
06/17/2013,679
01/10/2014,787
10/15/2012,2482
03/18/2017,1771
05/04/2010,2302
11/05/2014,1273
04/21/2019,878
04/10/2013,649
01/15/2016,772
02/14/2012,1948
11/16/2016,1946
03/31/2015,99
10/19/2014,1918
12/08/2016,94
12/13/2010,2399
07/11/2012,1170
10/25/2014,691
03/17/2016,996
05/10/2017,1318
02/15/2012,1526
09/08/2013,218
09/24/2012,212
06/16/2019,1393
03/17/2013,2492
09/16/2010,932
01/15/2013,1782
09/18/2013,1960
06/02/2012,2007
08/17/2015,908
04/27/2010,494
11/27/2014,2452
01/22/2014,1673
07/16/2014,1852
03/27/2014,1095
02/16/2013,377
01/20/2017,1326
03/14/2019,563
09/01/2011,1562
07/21/2016,425
09/14/2014,1691
04/18/2014,144
10/25/2011,533
11/18/2017,874
09/23/2017,1057
12/27/2013,780
04/11/2013,1687
12/10/2018,2333
02/15/2018,2138
09/26/2013,949
10/05/2018,1779
02/20/2018,229
08/04/2010,854
12/24/2010,2310
05/22/2012,103
02/28/2011,569
10/29/2012,398
05/28/2013,1441
06/11/2012,167
06/08/2018,435
07/01/2017,1641
12/04/2012,2441
11/18/2012,590
07/31/2013,842
02/03/2011,534
10/15/2011,1274
08/02/2019,2176
06/01/2013,939
12/04/2017,1647
05/31/2012,1939
04/21/2019,998
09/11/2011,2038
11/22/2019,1085
12/27/2010,1650
01/18/2017,1950
12/11/2017,160
07/05/2014,1121
06/03/2012,1499
07/27/2019,1124
04/09/2017,1377
01/29/2018,1557
02/22/2014,211
05/07/2018,324
05/14/2017,2369
03/10/2016,2399
08/27/2017,2024
05/05/2018,454
11/20/2017,138
01/20/2017,116
02/19/2019,775
04/04/2010,957
07/13/2014,622
11/29/2018,2150
09/04/2010,774
06/24/2018,2133
04/26/2011,1748
08/22/2018,1234
08/06/2017,854
12/02/2011,1933
02/01/2019,421
09/07/2011,1802
05/04/2016,2158
12/09/2015,2269
01/15/2019,1432
01/29/2017,2200
02/10/2015,1568
07/25/2012,1079
09/14/2014,1401
07/30/2013,1897
01/02/2016,1295
08/19/2015,319
03/10/2010,1875
02/15/2015,765
07/26/2019,2062
05/25/2014,1408
06/09/2011,99
03/18/2015,127
04/25/2017,2011
06/23/2017,567
11/01/2011,114
12/10/2016,1260
11/12/2015,2354
05/12/2012,650
09/07/2019,1363
07/07/2014,1317
10/04/2014,183
11/18/2018,1377
04/04/2015,2217
05/30/2015,1878
07/02/2015,303
12/11/2014,2244
02/15/2011,719
03/26/2010,1460
11/21/2014,2020
02/02/2013,497
02/06/2012,852
09/30/2013,1765
02/13/2011,1589
10/22/2011,1446
10/10/2016,1557
06/02/2016,621
11/15/2019,1245
01/16/2018,1993
10/04/2014,1287
10/30/2010,2491
01/07/2013,2014
02/23/2016,121
03/15/2016,680
10/20/2014,1729
06/11/2010,2215
02/10/2013,1465
02/10/2011,1069
12/09/2014,1179
04/20/2011,587
05/12/2012,566
03/09/2013,884
05/18/2016,2282
06/09/2010,332
12/12/2013,1288
12/01/2018,1077
02/21/2011,1080
01/05/2015,113
05/11/2010,237
12/16/2018,750
07/01/2019,1063
08/04/2019,88
05/13/2015,2262
01/08/2013,375
01/23/2016,1859
01/04/2017,286
09/10/2017,2010
01/04/2020,1204
11/03/2013,343
11/28/2015,1042
11/15/2016,2357
12/02/2017,53
08/16/2015,112
08/09/2013,2413
02/03/2012,420
11/12/2012,472
03/19/2017,720
09/17/2013,486
03/02/2015,437
10/22/2015,1600
11/16/2019,946
04/17/2017,1383
04/26/2019,603
10/20/2010,2381
02/28/2014,868
07/06/2016,78
07/08/2013,1743
05/20/2017,510
10/20/2019,1827
07/10/2013,1285
05/10/2012,690
08/02/2017,691
08/21/2011,1309
05/19/2014,721
07/19/2016,509
01/02/2015,1510
11/30/2013,2103
09/12/2015,1506
07/19/2018,2238
05/13/2011,904
04/24/2014,2088
08/28/2013,1514
03/22/2016,802
12/29/2018,634
01/22/2011,1390
09/25/2012,1682
01/22/2019,1574
11/25/2011,1885
01/11/2016,197
01/21/2020,833
06/14/2017,2171
05/21/2013,859
06/07/2015,916
02/02/2012,1992
01/03/2015,766
08/19/2019,288
05/14/2018,93
04/22/2016,1895
08/09/2012,510
01/24/2014,2269
11/30/2014,369
09/18/2011,351
08/22/2012,1098
09/20/2016,917
03/08/2018,2252
08/18/2012,1510
04/18/2015,579
06/09/2019,1594
05/10/2014,500
05/24/2012,248
04/22/2010,2259
12/08/2010,1127
08/05/2018,1441
03/19/2013,1370
01/01/2011,1394
02/06/2015,1860
12/16/2013,255
01/11/2011,1774
09/17/2014,561
04/22/2011,105
09/27/2016,2122
06/23/2013,2006
06/13/2019,2446
09/10/2012,2131
03/23/2010,1434
09/15/2012,492
06/10/2013,1271
05/24/2011,892
10/22/2012,286
01/31/2020,1395
01/16/2011,1814
03/19/2018,2135
01/04/2018,795
09/06/2017,402
05/12/2014,268
11/12/2015,1746
09/22/2012,225
08/29/2012,2314
08/23/2017,1114
08/27/2017,1728
12/16/2012,2426
02/12/2011,101
04/12/2012,164
03/24/2012,2285
04/25/2019,1331
12/01/2019,741
08/08/2018,151
09/26/2012,2060
09/29/2014,1183
03/23/2016,2039
09/16/2010,388
01/07/2020,892
12/23/2017,1601
07/14/2017,125
09/21/2019,1444
09/08/2017,1445
01/02/2016,2383
04/19/2013,568
03/31/2019,354
12/18/2012,1987
01/07/2012,598
02/09/2018,2063
11/24/2014,117
11/15/2011,776
01/07/2019,1089
02/28/2019,2327
07/18/2017,1090
07/13/2017,209
11/12/2015,645
05/13/2011,1449
09/13/2019,409
07/08/2010,978
08/08/2010,1449
07/11/2019,2460
08/22/2013,1707
08/29/2013,971
04/01/2010,1609
03/20/2015,1815
01/17/2018,1637
12/06/2015,653
05/28/2015,2335
04/29/2012,538
02/13/2011,2191
11/22/2014,1481
01/03/2018,1573
11/27/2014,2260
06/19/2013,2051
04/25/2017,226
12/12/2019,606
09/05/2012,1640
10/25/2016,2303
01/04/2016,1437
04/17/2013,1035
03/05/2012,2193
07/21/2019,587
12/25/2010,300
09/06/2012,1153
07/18/2015,2392
03/23/2018,608
09/13/2014,479
05/01/2016,2323
10/21/2016,1107
04/16/2014,1142
06/14/2017,961
06/22/2013,429
02/06/2012,1295
02/28/2019,1859
01/01/2019,1808
01/31/2019,531
12/30/2017,339
08/20/2010,1160
11/28/2013,2307
05/29/2010,614
09/14/2019,1246
06/10/2018,1524
07/29/2011,852
07/26/2017,862
05/12/2014,2456
12/29/2014,569
08/22/2013,1963
09/16/2012,604
01/27/2016,1203
01/14/2013,1168
04/24/2012,1180
07/21/2013,1409
03/20/2013,1826
03/09/2018,818
06/26/2016,2359
09/18/2012,1204
05/28/2013,1155
05/19/2018,1516
04/13/2017,398
05/10/2014,2265
05/12/2017,1254
05/26/2015,1266
10/21/2012,80
12/30/2014,773
12/06/2013,1484
03/15/2017,1709
07/11/2018,2017
09/26/2015,248
09/12/2013,2061
06/06/2017,1030
07/17/2016,1894
06/16/2015,1785
07/13/2016,1865
01/30/2020,2215
03/31/2015,226
09/14/2013,723
07/20/2014,999
03/02/2015,1910
04/01/2012,153
01/02/2020,1407
10/17/2019,173
02/06/2016,1974
09/01/2013,79
07/15/2013,193
07/01/2012,722
08/12/2010,1545
01/08/2013,1667
12/19/2010,2165
02/04/2012,1218
04/15/2013,52
11/07/2012,1727
05/08/2013,520
05/26/2011,567
08/07/2016,1250
02/09/2015,888
02/16/2012,62
01/04/2016,53
04/24/2011,2164
05/18/2017,2435
09/20/2018,1808
10/22/2011,2359
09/11/2014,1968
08/17/2012,1918
06/22/2011,2424
04/27/2014,1325
05/13/2016,1637
04/30/2010,732
06/18/2019,255
04/11/2010,1129
10/07/2015,1427
02/13/2018,483
09/18/2019,669
07/05/2017,1562
05/24/2017,1839
11/07/2012,1518
04/17/2014,1567
06/01/2019,1531
10/21/2018,1994
06/12/2015,1133
11/25/2011,1837
08/09/2012,1137
11/27/2011,1281
02/26/2012,970
03/07/2010,1669
07/16/2010,2100
10/11/2013,1393
08/27/2016,679
02/05/2019,132
06/20/2017,1024
03/13/2016,2140
04/27/2012,1860
02/23/2020,983
06/06/2010,2432
07/01/2012,711
01/01/2020,1455
08/09/2016,2260
02/22/2013,2215
01/14/2020,885
03/20/2010,150
12/05/2010,110
09/09/2017,921
12/10/2017,2018
04/16/2011,2355
01/24/2017,1550
04/29/2018,122
05/28/2013,545
07/06/2017,2037
06/05/2019,1324
04/16/2015,903
02/18/2011,788
06/29/2011,2164
07/05/2010,2103
10/23/2019,2096
05/05/2012,481
12/31/2017,1142
11/20/2017,237
04/18/2013,1079
09/01/2012,2415
03/15/2016,130
01/28/2011,1337
12/09/2018,414
11/11/2016,1541
09/04/2017,1358
12/15/2017,498
01/13/2013,1556
06/08/2015,1166
12/31/2011,852
01/25/2018,1776
06/28/2018,969
10/26/2015,1658
10/12/2010,1864
06/22/2011,1306
10/24/2013,724
02/05/2018,290
05/30/2017,517
01/24/2018,412
03/03/2020,530
02/01/2011,1138
08/18/2010,1669
10/03/2013,1589
09/19/2013,1615
04/30/2016,1180
06/29/2015,1346
04/23/2015,2011
09/03/2014,805
09/23/2016,2394
12/13/2011,714
12/16/2016,1872
10/29/2014,1433
02/03/2013,1061
10/07/2017,1942
02/13/2015,707
12/12/2012,887
08/18/2013,838
02/05/2016,658
03/01/2011,1171
12/31/2016,995
02/26/2019,1415
10/04/2019,579
02/15/2019,1285
08/30/2015,860
12/06/2011,2316
02/28/2019,2287
06/14/2014,1594
08/19/2013,637
04/21/2018,732
08/06/2010,1104
